Package_Name,Destination,Duration_Days,Duration_Nights,Package Highlights (usp),Travel Group,Themes
Thrills of Bali for Two,Bali,8,7,Water Sports + Uluwatu + Kecak + Padang Padang | White Water Rafting | Lembongan Island Beach Club Cruise,COUPLE,"ADVENTURE, BEACH"
Bali Funventure,Bali,7,6,Taman Safari Jungle Hopper | Trans Studio Theme Park | ATV + White Water Rafting,FAMILY,"ADVENTURE, WILDLIFE"
Island Highs,Bali,6,5,Water Sports + Uluwatu + Kecak + Padang Padang | White Water Rafting | Bounty Sunset Dinner Cruise,FRIENDS,"ADVENTURE, BEACH, NIGHT_LIFE"
Bali Adventure Highs,Bali,6,5,Mt Batur Sunrise Jeep Tour | White Water Rafting | ACT_54986,SOLO,"ADVENTURE, MOUNTAIN"
Beach Bliss for Two,Bali,7,6,Benoa Beach + Uluwatu + Melasti | Lembongan Island Beach Club Cruise | Candlelight Dinner Jimbaran,COUPLE,"BEACH, ROMANTIC"
Bali Beach Family Fun,Bali,7,6,Benoa Beach + Uluwatu + Melasti | Lembongan Island Beach Club Cruise | Taman Safari Elephant Back,FAMILY,"BEACH, ADVENTURE"
"Sun, Surf & the Crew",Bali,7,6,Benoa Water Sports with Snorkeling | White Water Rafting | Benoa + Uluwatu + GWK,FRIENDS,"BEACH, ADVENTURE"
Bali Island Escape,Bali,5,4,Taman Griya Waterfall | Uluwatu Sunset Tour | Sea Safari Cruise,SOLO,"BEACH, RELAXATION"
Jewels of Nusa Penida,Bali,8,7,Benoa Beach + Uluwatu + Melasti | West Nusa Penida Tour | East Nusa Penida Tour,COUPLE,"BEACH, NATURE"
Seminyak Escape,Bali,6,5,Ubud Royal Palace | Uluwatu Sunset Tour | Romantic Candlelight Dinner Holiday Inn,COUPLE,"CITY, SHOPPING, RELAXATION"
Kuta Family Fun,Bali,7,6,Trans Studio Theme Park | Private Car 8hrs | Tanah Lot + Uluwatu + Kecak Dance,FAMILY,"CITY, SHOPPING"
Urban Bali with the Crew,Bali,5,4,Bounty Sunset Dinner Cruise | Tanah Lot + Uluwatu + Kecak Dance | Bali Hai Sunset Dinner Cruise,FRIENDS,"CITY, NIGHT_LIFE, SHOPPING"
Bali City Explorer,Bali,6,5,Tanah Lot + Uluwatu + Kecak Dance | Private Car 4hrs | Ubud Royal Palace,SOLO,"CITY, CULTURE"
Heart of Bali,Bali,7,6,Barong Dance | Kintamani Volcano + Ubud Village | Tirtha Empul Temple,COUPLE,"CULTURE, SPIRITUAL, HISTORY"
Bali Heritage Quest,Bali,7,6,Barong Dance | Kintamani Volcano + Ubud Village | Besakih Temple + Kintamani,FAMILY,"CULTURE, HISTORY"
Tribe Culture Trek,Bali,7,6,Kintamani Volcano + Ubud Village | Tanah Lot + Uluwatu + Kecak Dance | Kintamani + Waterfall + Rice Fields + Swing,FRIENDS,"CULTURE, FOOD"
Bali Cultural Discovery,Bali,6,5,Barong Dance | Kintamani Volcano + Ubud Village | Besakih Temple + Kintamani,SOLO,"CULTURE, SPIRITUAL"
Grandeur of Bali,Bali,9,8,Romantic Candlelight Dinner Holiday Inn | Candlelight Dinner Kupu Kupu Barong | Candlelight Dinner Sthala Ubud,COUPLE,"LUXURY, ROMANTIC"
Bali Premium Family Retreat,Bali,9,8,Taman Safari Elephant Back | Lembongan Island Beach Club Cruise | Devdan Show VIP,FAMILY,"LUXURY, NATURE"
The Curated Bali Experience,Bali,7,6,Lembongan Island Beach Club Cruise | Bounty Sunset Dinner Cruise | Water Sports + Uluwatu + Kecak + Padang Padang,FRIENDS,"LUXURY, BEACH, NIGHT_LIFE"
Bespoke Bali Retreat,Bali,9,8,Candlelight Dinner Kupu Kupu Barong | Taman Griya Waterfall | Balinese Massage 2hrs,SOLO,"LUXURY, RELAXATION"
Highland Love Escape,Bali,8,7,Banyumala Waterfall + Wanagiri Hills | Mt Batur Sunrise Jeep Tour | Romantic Candlelight Dinner Grand Mirage,COUPLE,"MOUNTAIN, NATURE, ROMANTIC"
Bali Highland Family Adventure,Bali,7,6,Taman Beji Waterfall + Jungle Cart + Tubing | Banyumala Waterfall + Wanagiri Hills | Dolphin Watching + Banjar Hot Spring,FAMILY,"MOUNTAIN, NATURE"
Summit Seekers,Bali,7,6,Mt Batur Sunrise Trekking | White Water Rafting | Mt Batur Sunrise Jeep Tour,FRIENDS,"MOUNTAIN, ADVENTURE"
Volcanic Trails,Bali,5,4,Mt Batur Sunrise Jeep Tour | White Water Rafting | ACT_54986,SOLO,"MOUNTAIN, ADVENTURE"
Dazzling Bali Nights,Bali,8,7,Bounty Sunset Dinner Cruise | Romantic Candlelight Dinner Holiday Inn | Bali Hai Sunset Dinner Cruise,COUPLE,"NIGHT_LIFE, ROMANTIC"
Bali Night Lights,Bali,6,5,Taman Safari Night Safari | Barong Dance | Balinese Cooking Class,FAMILY,"NIGHT_LIFE, CULTURE"
Island Beats,Bali,7,6,Bounty Sunset Dinner Cruise | Bali Hai Sunset Dinner Cruise | Water Sports + Uluwatu + Kecak + Padang Padang,FRIENDS,"NIGHT_LIFE, BEACH"
Bali After Dark,Bali,5,4,Tanah Lot + Uluwatu + Kecak Dance | Devdan Show Cat A | Bounty Sunset Dinner Cruise,SOLO,"NIGHT_LIFE, CULTURE"
A Balinese Love Story,Bali,8,7,Romantic Candlelight Dinner Holiday Inn | Sea Safari Cruise | Candlelight Dinner Kupu Kupu Barong,COUPLE,"ROMANTIC, LUXURY"
Paradise for Two,Bali,7,6,Lembongan Island Beach Club Cruise | Romantic Candlelight Dinner Grand Mirage | Sea Safari Cruise,COUPLE,"ROMANTIC, BEACH, RELAXATION"
Bali Love Escape,Bali,8,7,Candlelight Dinner Kori Maharani | Romantic Candlelight Dinner Holiday Inn | Sea Safari Cruise,COUPLE,"ROMANTIC, CULTURE"
Tropical Love Escape,Bali,7,6,Sea Safari Cruise | Water Sports + Uluwatu + Kecak + Padang Padang | Romantic Candlelight Dinner Holiday Inn,COUPLE,"ROMANTIC, BEACH, NATURE"
Seminyak Style Escape,Bali,7,6,Private Car 8hrs | Trans Studio Theme Park | Private Car 4hrs,COUPLE,"SHOPPING, RELAXATION"
Bali Family Spree,Bali,7,6,Trans Studio Theme Park | Private Car 8hrs | Tanah Lot + Uluwatu + Kecak Dance,FAMILY,"SHOPPING, CITY"
Retail Therapy in Bali,Bali,6,5,Silver Jewelry Making Class | Private Car 8hrs | Bounty Sunset Dinner Cruise,FRIENDS,"SHOPPING, CITY"
Bali Shopper's Dream,Bali,8,7,Silver Jewelry Making Class | Kintamani Volcano + Ubud Village | Private Car 4hrs,SOLO,"SHOPPING, CULTURE"
Bliss in Bali,Bali,8,7,Taman Griya Waterfall | Balinese Massage 2hrs | Romantic Candlelight Dinner Grand Mirage,COUPLE,"RELAXATION, ROMANTIC, WELLNESS"
Bali Family Unwind,Bali,7,6,Benoa Beach + Uluwatu + Melasti | Taman Safari Elephant Back | Balinese Massage 1hr,FAMILY,"RELAXATION, BEACH"
Chill & Thrill in Bali,Bali,5,4,Benoa Water Sports with Snorkeling | Balinese Massage 1.5hrs | Lembongan Island Beach Club Cruise,FRIENDS,"RELAXATION, BEACH"
Bali Serenity,Bali,8,7,Tirtha Empul Temple | Balinese Massage 2hrs | Uluwatu Sunset Tour,SOLO,"RELAXATION, SPIRITUAL"
Ancient Temples for Two,Bali,9,8,Goa Gajah Elephant Cave | Barong Dance | Besakih Temple + Kintamani,COUPLE,"HISTORY, CULTURE, SPIRITUAL"
Balinese Heritage Journey,Bali,9,8,Bedugul + Taman Ayun + Tanah Lot | Tanah Lot + Uluwatu + Kecak Dance | Lempuyang Temple + Tirta Ganga,FAMILY,"HISTORY, CULTURE"
Explorers of Ancient Bali,Bali,7,6,Besakih Temple + Kintamani | Tanah Lot + Uluwatu + Kecak Dance | Barong Dance,FRIENDS,"HISTORY, CULTURE"
