activity_title,activity_description,package_itinerary_title,package_itinerary_id,day_index,itinerary_index,module_id,city,new_cms_activity_code,match_type
Hakone Fuji Day Tour Cruise Cable Car and Volcano - Tour from Shinjuku,"This is a shared tour by the coach. Hakone is one of the most famous sightseeing spots with the volcanic activity site ""Owakudani boiling Valley"" and the Hakone cruise from which you can enjoy the Mount Fuji scenery. Depart from Shinjuku in Tokyo to the scenic areas of Hakone near Mount Fuji. First, cruise on a well-decorated pirate boat to enjoy breathtaking views of Mount Fuji around the green on Lake Ashinoko. After viewing the mountain from the water, view it in the air by taking the Hakone Ropeway up to Mount Hakone, where you can see a clear view of Mount Fuji from another mountain. The Ohwakudani, Great Boiling Valley, is another famous volcano, which erupted 4,000 years ago with live white sulfur escaping. Try the local Black Boiled Egg, Kuro Tamago, to see whether the legend is true and that it extends your life for seven years. In the afternoon choose to visit Gotemba Premium Outlet for around 2 hours. Gotemba premium outlet is one of the largest outlets in Japan, you can see Mount Fuji from inside the outlet. The other choice is to experience the famous hot spring from which you can enjoy a view of Mount Fuji view. Hot springs are one of the most famous cultures of Japan and many tourists like to experience it when they visit, the entrance cost of hot springs is at your own expense.",Japan Explorer,68dff17dec31f620f2d1d9f0,2,1,E-E10-A9VWNO0190,Tokyo, TRA_57774,New Activity
Nikko Toshogu Shrine and Kegon Waterfall - Full-Day Tour - Tour from Tokyo Yaesu,"Your tour leader will greet you on the ground floor of the Mitsui Sumitomo Bank, Shinjuku Nishiguchi Branch next to the Shinjuku JR Station west exit. You will depart from Shinjuku to Tochigi prefecture, where Nikko City is located. You will travel to the first stop on your tour, the Nikko Toshogu Shrine . This shrine is the final resting place of Tokugawa Ieyasu, the founder of the Tokugawa Shogunate that ruled Japan for over 250 years until 1868, known as the Edo Period. You can appreciate the beauty of this shrine complex, a UNESCO World Heritage site , whilst learning the interesting stories and legends of the buildings from your guide. After visiting the Nikko Toshogo Shrine, you will pass through the Iroha Slope . It is famous for its 48 sharp turns along its route, and is portrayed in the animation ”Initial D”. The road is very popular for its autumn leaves in the fall. You will arrive at the Kegon Waterfall. This almost 100-meter-tall waterfall is the most famous of Nikko's many beautiful waterfalls. It is even ranked as one of Japan's three most beautiful falls, along with the Nachi Waterfall in the Wakayama Prefecture and the Fukuroda Waterfall in the Ibaraki Prefecture. Your tour will be separated into two groups, you can choose according to your preference to either walk along Lake Chuzenji, or to experience the Nikko hot spring . Before finishing your tour, you will stop by the Onihei Edo service area, which is the most interesting service area with edo-style design and traditional souvenirs. You will be dropped back at the Mitsui Sumitomo Bank, Shinjuku Nishiguchi Branch, where your tour will end.",Japan Explorer,68dff17dec31f620f2d1d9f0,4,1,E-E10-A9VWNO0189,Tokyo,"TRA_57809
",Exact Match
Bullet Train from Tokyo to Shin Osaka - One-Way Ticket - Standard ticket,"Traveling by bullet train in Japan is one of the most efficient and convenient ways to get around. The Shinkansen, known for its speed and reliability, allows passengers to reach their destinations quickly while enjoying a smooth and comfortable ride. Ticket Options • Standard Car • Green Car Green Cars offer a little more comfort than standard cars and are the equivalent of first class travel in Japan. They have the convenience of extra luggage space , a benefit not available in standard cars. Usually marked with a four-leaf clover, Green Cars are easy to spot. The design of Green Cars focuses on providing privacy and a quiet atmosphere. This makes them ideal for passengers who want to work, read or simply enjoy a peaceful journey. Departure time Options • Nozomi 21: Depart Tokyo at 9:30am and arrive at Shin Osaka at 12noon • Nozomi 33: Depart Tokyo at 12:30pm and arrive at Shin Osaka at 3pm • Nozomi 55: Depart Tokyo at 5:30pm and arrive at Shin Osaka at 8pm Important information • Please note the difference between reserved and non-reserved seats. Some carriages have non-reserved seats, and the others have reserved seats. You can reserve seats on ticketing machines in JR stations. • If your bag is no bigger than 160 cm, you can store it in the luggage rack. You can bring two pieces of baggage on board for free of charge (excluding small bags). Each piece should not exceed 30 kg . Passengers with larger baggage ( between 160 cm and 250 cm in total dimensions) must reserve a seat in the oversized baggage area before boarding (not included in the ticket). Items exceeding 250 cm in total dimensions are not allowed on the Shinkansen. • It is advisable to refrain from using your mobile phone on the train, except for the designated phone area on the Shinkansen. Keep it quiet and use headphones.",Japan Explorer,68dff17dec31f620f2d1d9f0,5,2,E-E10-25NASC0015,Osaka,RAIL_56329,Exact Match
Full Day Osaka Day Tour with English Guide and Public Transportation Private - Tour,"Our team assists you to draft itinerary, prepare tickets, book restaurants/local experiences, communicate with local vendors, direct you to the destinations, keep time, assist you throughout the trip and more! STEP1: Please select your favorite destinations from ""What to Expect"" and share with us your other special requests. STEP2 : Our team draft your tentative custom itinerary and share with you. STEP3 : We revise/finalize the itinerary base on your feedback REMARKS. A. You can always make changes to the itinerary even while traveling on the van. The tour is flexible to your own needs and goals. B. Extra 1~2 hours will be given for free in case of heavy traffic jam and unexpected delay(s) only. C. Extra charges will be applied for over time service. Itinerary The construction of Osaka Castle (Ōsakajō) started in 1583 on the former site of the Ishiyama Honganji Temple, which had been destroyed by Oda Nobunaga thirteen years earlier. Toyotomi Hideyoshi intended the castle to become the center of a new, unified Japan under Toyotomi rule. It was the largest castle at the time. However, a few years after Hideyoshi's death, Tokugawa troops attacked and destroyed the castle and terminated the Toyotomi lineage in 1615. Osaka Castle was rebuilt by Tokugawa Hidetada in the 1620s, but its main castle tower was struck by lightening in 1665 and burnt down. It was not until 1931 that the present ferro-concrete reconstruction of the castle tower was built. During the war it miraculously survived the city wide air raids. Major repair works gave the castle new glamor in 1997. The castle tower is now entirely modern on the inside and even features an elevator for easier accessibility. It houses an informative museum about the castle's history and Toyotomi Hideyoshi. Duration: 1 hour and 30 minutes. Ticket not included. Tsutenkaku Towerhinsekai (""New World"") is a district in Osaka that was developed before the war and then neglected in the decades afterwards. At the district's center stands Tsutenkaku Tower, the nostalgia-evoking symbol of Shinsekai. The area was developed into its current layout following the success of the 1903 National Industrial Exposition, which brought over five million people to the neighborhood within just five months. Shortly after the expo closed its doors, work began to improve and update Shinsekai. Duration: 30 minutes. Ticket not included. Standing 300 meters tall, Abeno Harukas in Osaka is the tallest skyscraper in Japan. The building stands on top of the Kintetsu Osaka Abenobashi Station and is conveniently located across from JR Tennoji Station. It houses a department store, an art museum, a hotel and an observation deck. The observation deck is called ""Harukas 300"" and occupies the building's top three floors (floors 58 to 60). The observation deck is accessed by elevators from the 16th floor. With large floor-to-ceiling glass panels all around, the 60th floor offers 360 degree views of Osaka, while the 58th floor features an attractively designed inner court with a wooden deck and cafe. A souvenir shop and restrooms with views are also available. Duration: 1 hour. Ticket not included. The Umeda Sky Building is a spectacular high rise building in the Kita district of Osaka, near Osaka and Umeda Stations. It is also known as the ""New Umeda City"". Duration: 1 hour. Ticket not included. A bustling commercial street that is representative of the Minami area of Osaka, always busy with playhouses and food shops from the Edo Period to today. Duration: 1 hour. Ticket not included. Namba Yasaka Shrine has one of the most unique buildings of any shrine in the world! This Osaka shrine's iconic lion head-shaped building was built in the 1970s and isn't actually very old. However, the shrine itself has a long history, and its annual festival held in January(which incorporates an awesome tug-of-war competition) is designated as an intangible folk cultural property by the Japanese government. Duration: 30 minutes. Shinsaibashi-Suji Shopping Street, which runs east to Mido-Suji Avenue, is the best-known shopping area in Osaka, and an enduring symbol of the city. With a history of 380 years, it was already an established shopping area in the Edo Period. Shops of all kinds and for all ages line the street, a roofed arcade 600 meters long. There are traditional kimono tailors, western clothing and footwear retailers, restaurants and fast food outlets, jewelers, and boutiques featuring the latest fashions. It?'s great to take a casual stroll through the Shinsaibashi area. Many people enjoy window-shopping and savoring the food along the way. Duration: 1 hour.",Japan Explorer,68dff17dec31f620f2d1d9f0,6,1,E-E10-A1NSNO0898,Osaka,546327,Exact Match
Universal Studio Japan - Studio Pass Park Entry Ticket -  Ticket with round trip private transfer - 1 day pass,"Book our bundle with an entrance pass to Universal Studios Japan and transfer service from your hotel (only if you select the option) . Enjoy transportation in a comfortable private car before or after having a fun day with the whole family or your friends. Energize your spirit with non-stop thrills and excitement! Experience the world's first* Mario-themed area and Mario Kart: Koopa's Challenge™ attraction, both of which received Thea Awards, considered an enormous honour around the globe in the themed entertainment industry. The world's first interactive Mario Kart theme park ride will leave you with a rush of adrenaline! And don't miss The Wizarding World of Harry Potter™, Minions, and other magnificent worlds enjoyed by kids and adults alike! Exhilarate your senses with a day of play in a park full of endless excitement and thrills! Schedule* Pick-up from hotel at 7am and drop-off from park at 8pm. *If you have selected the option with transfers. Important information If you selected 1.5-day ticket, you can enter the park after 3pm on the first day.",Japan Explorer,68dff17dec31f620f2d1d9f0,7,1,E-E10-A1MANO0354,Osaka,TRA_57766,Exact Match
Bullet Train from Tokyo to Nagoya - One-Way Ticket - Standard ticket,"Traveling by bullet train in Japan is one of the most efficient and convenient ways to get around. The Shinkansen, known for its speed and reliability, allows passengers to reach their destinations quickly while enjoying a smooth and comfortable ride. Ticket Options • Standard Car Standard car tickets offer both reserved (come with allocated seats) and unreserved (the seats are not allocated) cars, so you can choose the best option according to your preferences. • Green Car Green Cars offer a little more comfort than Standard cars and are the equivalent of first-class travel in Japan. They have the convenience of extra luggage space , a benefit not available in standard cars. Usually marked with a four-leaf clover, Green Cars are easy to spot. The design of Green Cars focuses on providing privacy and a quiet atmosphere. This makes them ideal for passengers who want to work, read, or simply enjoy a peaceful journey. Departure time Options • Nozomi 213: Depart Tokyo at 9am and arrive at Nagoya at 10:40am • Nozomi 33: Depart Tokyo at 12:30pm and arrive at Nagoya at 2:10pm • Nozomi 103: Depart Tokyo at 6:30pm and arrive at Nagoya at 8:10pm Important information • Please note the difference between reserved and non-reserved seats. Some carriages have non-reserved seats, and the others have reserved seats. You can reserve seats on ticketing machines in JR stations. • If your bag is no bigger than 160 cm, you can store it in the luggage rack. You can bring two pieces of baggage on board for free of charge (excluding small bags). Each piece should not exceed 30 kg . Passengers with larger baggage ( between 160 cm and 250 cm in total dimensions) must reserve a seat in the oversized baggage area before boarding (not included in the ticket). Items exceeding 250 cm in total dimensions are not allowed on the Shinkansen. • It is advisable to refrain from using your mobile phone on the train, except for the designated phone area on the Shinkansen. Keep it quiet and use headphones.",Japan Tech Trek,68dff17dec31f620f2d1d9ef,3,2,E-E10-25NASC0011,Nagoya,R1,Exact Match
Tokyo DisneyLand Park 1-Day Ticket and Private Transfer - 1 day ticket + round trip private transfer,"Book our bundle with an entrance ticket to Tokyo Disneyland and a one-way transfer service to and from your hotel. Enjoy transportation in a comfortable private car before or after having a fun day with the whole family or your friends. In Tokyo Disneyland, immerse yourself in the world of beloved Disney stories at Tokyo Disneyland with a full-day entry ticket. Visit seven themed lands that feature seasonal decorations and parades. Ride thrilling attractions and see dazzling shows. You can immediately start enjoying the park's outdoor and indoor activities including rides, games, sports, shops, and eateries. Walk the resort’s colorful avenues filled with shops and stop at one of the restaurants to experience Japan's unique spirit of hospitality. Schedule Pick-up from hotel at 7am and drop-off from park at 8pm.",Japan Tech Trek,68dff17dec31f620f2d1d9ef,5,1,E-E10-A1MANO0353,Tokyo, TRA_57764,Similar
Bullet Train from Tokyo to Shin Osaka - One-Way Ticket - Standard ticket,"Traveling by bullet train in Japan is one of the most efficient and convenient ways to get around. The Shinkansen, known for its speed and reliability, allows passengers to reach their destinations quickly while enjoying a smooth and comfortable ride. Ticket Options • Standard Car • Green Car Green Cars offer a little more comfort than standard cars and are the equivalent of first class travel in Japan. They have the convenience of extra luggage space , a benefit not available in standard cars. Usually marked with a four-leaf clover, Green Cars are easy to spot. The design of Green Cars focuses on providing privacy and a quiet atmosphere. This makes them ideal for passengers who want to work, read or simply enjoy a peaceful journey. Departure time Options • Nozomi 21: Depart Tokyo at 9:30am and arrive at Shin Osaka at 12noon • Nozomi 33: Depart Tokyo at 12:30pm and arrive at Shin Osaka at 3pm • Nozomi 55: Depart Tokyo at 5:30pm and arrive at Shin Osaka at 8pm Important information • Please note the difference between reserved and non-reserved seats. Some carriages have non-reserved seats, and the others have reserved seats. You can reserve seats on ticketing machines in JR stations. • If your bag is no bigger than 160 cm, you can store it in the luggage rack. You can bring two pieces of baggage on board for free of charge (excluding small bags). Each piece should not exceed 30 kg . Passengers with larger baggage ( between 160 cm and 250 cm in total dimensions) must reserve a seat in the oversized baggage area before boarding (not included in the ticket). Items exceeding 250 cm in total dimensions are not allowed on the Shinkansen. • It is advisable to refrain from using your mobile phone on the train, except for the designated phone area on the Shinkansen. Keep it quiet and use headphones.",Japan Tech Trek,68dff17dec31f620f2d1d9ef,6,2,E-E10-25NASC0015,Osaka,RAIL_56329,Exact Match
Full Day Osaka Day Tour with English Guide and Public Transportation Private - Tour,"Our team assists you to draft itinerary, prepare tickets, book restaurants/local experiences, communicate with local vendors, direct you to the destinations, keep time, assist you throughout the trip and more! STEP1: Please select your favorite destinations from ""What to Expect"" and share with us your other special requests. STEP2 : Our team draft your tentative custom itinerary and share with you. STEP3 : We revise/finalize the itinerary base on your feedback REMARKS. A. You can always make changes to the itinerary even while traveling on the van. The tour is flexible to your own needs and goals. B. Extra 1~2 hours will be given for free in case of heavy traffic jam and unexpected delay(s) only. C. Extra charges will be applied for over time service. Itinerary The construction of Osaka Castle (Ōsakajō) started in 1583 on the former site of the Ishiyama Honganji Temple, which had been destroyed by Oda Nobunaga thirteen years earlier. Toyotomi Hideyoshi intended the castle to become the center of a new, unified Japan under Toyotomi rule. It was the largest castle at the time. However, a few years after Hideyoshi's death, Tokugawa troops attacked and destroyed the castle and terminated the Toyotomi lineage in 1615. Osaka Castle was rebuilt by Tokugawa Hidetada in the 1620s, but its main castle tower was struck by lightening in 1665 and burnt down. It was not until 1931 that the present ferro-concrete reconstruction of the castle tower was built. During the war it miraculously survived the city wide air raids. Major repair works gave the castle new glamor in 1997. The castle tower is now entirely modern on the inside and even features an elevator for easier accessibility. It houses an informative museum about the castle's history and Toyotomi Hideyoshi. Duration: 1 hour and 30 minutes. Ticket not included. Tsutenkaku Towerhinsekai (""New World"") is a district in Osaka that was developed before the war and then neglected in the decades afterwards. At the district's center stands Tsutenkaku Tower, the nostalgia-evoking symbol of Shinsekai. The area was developed into its current layout following the success of the 1903 National Industrial Exposition, which brought over five million people to the neighborhood within just five months. Shortly after the expo closed its doors, work began to improve and update Shinsekai. Duration: 30 minutes. Ticket not included. Standing 300 meters tall, Abeno Harukas in Osaka is the tallest skyscraper in Japan. The building stands on top of the Kintetsu Osaka Abenobashi Station and is conveniently located across from JR Tennoji Station. It houses a department store, an art museum, a hotel and an observation deck. The observation deck is called ""Harukas 300"" and occupies the building's top three floors (floors 58 to 60). The observation deck is accessed by elevators from the 16th floor. With large floor-to-ceiling glass panels all around, the 60th floor offers 360 degree views of Osaka, while the 58th floor features an attractively designed inner court with a wooden deck and cafe. A souvenir shop and restrooms with views are also available. Duration: 1 hour. Ticket not included. The Umeda Sky Building is a spectacular high rise building in the Kita district of Osaka, near Osaka and Umeda Stations. It is also known as the ""New Umeda City"". Duration: 1 hour. Ticket not included. A bustling commercial street that is representative of the Minami area of Osaka, always busy with playhouses and food shops from the Edo Period to today. Duration: 1 hour. Ticket not included. Namba Yasaka Shrine has one of the most unique buildings of any shrine in the world! This Osaka shrine's iconic lion head-shaped building was built in the 1970s and isn't actually very old. However, the shrine itself has a long history, and its annual festival held in January(which incorporates an awesome tug-of-war competition) is designated as an intangible folk cultural property by the Japanese government. Duration: 30 minutes. Shinsaibashi-Suji Shopping Street, which runs east to Mido-Suji Avenue, is the best-known shopping area in Osaka, and an enduring symbol of the city. With a history of 380 years, it was already an established shopping area in the Edo Period. Shops of all kinds and for all ages line the street, a roofed arcade 600 meters long. There are traditional kimono tailors, western clothing and footwear retailers, restaurants and fast food outlets, jewelers, and boutiques featuring the latest fashions. It?'s great to take a casual stroll through the Shinsaibashi area. Many people enjoy window-shopping and savoring the food along the way. Duration: 1 hour.",Japan Tech Trek,68dff17dec31f620f2d1d9ef,7,1,E-E10-A1NSNO0898,Osaka,546327,Exact Match
Madame Tussauds Tokyo - Ticket - Ticket,"Enjoy a large selection of life-sized waxworks of famous celebrities at Madame Tussauds, Tokyo. First established in London 250 years ago, Madame Tussauds is a hands-on attraction with an honourable history. The Tokyo chapter of Madame Tussauds offers over 70 life-sized figures of celebrities worldwide, including Hollywood stars and famous athletes, j ust like the real person! Not just foreign celebrities, there are figures of popular Japanese television stars and celebrities too. With no ropes or other partitioning, visitors can enjoy taking pictures with their favorite celebrities and have enormous fun putting their arms around the figures or striking similar poses.",Japan Retail Therapy,68dff17dec31f620f2d1d9ee,1,3,E-E10-A1NSNO0826,Tokyo, TRA_57773,New Activity
