activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,resolved_collection,new_title,new_activity_id,mode
E-E10-A9VWNO0190,TRA_57774,New Activity,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,2,1,replaced_new_code,matched on new_code (TRA_57774),TRA_57774,activity,Hakone Sightseeing Cruise(Hakonemachi to Togendai),6a070ac80514b9b2e255954a,live
E-E10-A9VWNO0189,TRA_57809,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,4,1,replaced_new_code,matched on new_code (TRA_57809),TRA_57809,activity,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a070ad40514b9b2e25595cf,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,5,2,replaced_old_code,,E-E10-25NASC0015,across_city_transfer,Train from Tokyo to Osaka(Reserved Category),68e7cb0e6b76504213b21ec7,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,6,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,7,1,replaced_new_code,matched on new_code (TRA_57766),TRA_57766,activity,Universal Studios Japan 1-day Studio Pass,6a070ac60514b9b2e2559521,live
E-E10-25NASC0011,R1,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,3,2,replaced_old_code,,E-E10-25NASC0011,across_city_transfer,Train from Tokyo to Nagoya(Reserved Category),6a169204e99099448563500b,live
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,5,1,replaced_new_code,matched on new_code (TRA_57764),TRA_57764,activity,Tokyo Disneyland 1-Day Ticket,6a070ac50514b9b2e2559515,live
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,6,2,replaced_old_code,,E-E10-25NASC0015,across_city_transfer,Train from Tokyo to Osaka(Reserved Category),68e7cb0e6b76504213b21ec7,live
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,7,1,replaced_new_code,matched on new_code (546327),546327,activity,"Osaka Private 10-Hour Chartered Car with English Driver – to Osaka City, 10-Seat",6a1691968e9873e297863e28,live
E-E10-A1NSNO0826,TRA_57773,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,1,3,replaced_new_code,matched on new_code (TRA_57773),TRA_57773,activity,Tokyo Skytree Ticket(Tembo Deck & Galleria)(Morning Slot),6a070ac80514b9b2e2559545,live
E-E10-25JERC0014,TRA_57786,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,2,1,replaced_new_code,matched on new_code (TRA_57786),TRA_57786,activity,"Tokyo City, Private Customized Day Trip with English-speaking Driver",6a070acf0514b9b2e2559587,live
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,2,replaced_old_code,,E-E10-25NASC0012,across_city_transfer,Train from Tokyo to Kyoto(Reserved Category),68e7cb0e6b76504213b21ec9,live
E-E10-JP-KIXJ9,TRA_57829,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,3,replaced_new_code,matched on new_code (TRA_57829),TRA_57829,activity,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070ad50514b9b2e25595f5,live
E-E10-JP-KIXJ11,489377,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,1,replaced_new_code,matched on new_code (489377),489377,activity,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1691928e9873e297863e00,live
